AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
-0.0386,-0.66117,-0.746285,0.99807,1,2,3,4
-0.053655,-0.66533,-0.737825,0.995115,1,2,3,4
-0.065405,-0.665625,-0.735025,0.99424,1,2,3,4
-0.08728,-0.66407,-0.73647,0.99601,1,2,3,4
-0.06451,-0.66343,-0.738565,0.99503,1,2,3,4
-0.05928,-0.664595,-0.73794,0.99506,1,2,3,4
-0.060425,-0.66673,-0.737925,0.99658,1,2,3,4
-0.05647,-0.66607,-0.735015,0.99503,1,2,3,4
-0.059705,-0.714715,-0.69888,1.00262,1,2,3,4
-0.06036,-0.716945,-0.692605,0.99894,1,2,3,4
-0.05365,-0.718735,-0.69118,0.998745,1,2,3,4
-0.052115,-0.721965,-0.688195,0.998945,1,2,3,4
-0.059735,-0.71619,-0.69356,0.998925,1,2,3,4
-0.053865,-0.71924,-0.69015,0.99842,1,2,3,4
-0.054275,-0.71747,-0.69182,0.9983,1,2,3,4
-0.051735,-0.716645,-0.69331,0.998655,1,2,3,4
-0.044115,-0.71537,-0.694665,0.9983,1,2,3,4
-0.04455,-0.71779,-0.69403,0.999555,1,2,3,4
-0.03789,-0.696705,-0.712675,0.99765,1,2,3,4
-0.03497,-0.6877,-0.720355,0.996825,1,2,3,4
-0.02272,-0.66956,-0.736975,0.9964,1,2,3,4
-0.02549,-0.658995,-0.745065,0.995995,1,2,3,4
-0.027745,-0.66495,-0.739155,0.99478,1,2,3,4
-0.02423,-0.672195,-0.733715,0.99554,1,2,3,4
-0.03009,-0.662955,-0.741655,0.995345,1,2,3,4
-0.03112,-0.667915,-0.73727,0.99534,1,2,3,4
-0.034415,-0.66668,-0.737865,0.995075,1,2,3,4
-0.03473,-0.66548,-0.739755,0.995705,1,2,3,4
-0.02967,-0.666035,-0.73885,0.99528,1,2,3,4
-0.026745,-0.666415,-0.738885,0.995445,1,2,3,4
-0.02521,-0.666885,-0.73833,0.9953,1,2,3,4
-0.028315,-0.665935,-0.73943,0.995515,1,2,3,4
-0.02881,-0.664115,-0.741205,0.99566,1,2,3,4
-0.03089,-0.658565,-0.74621,0.99584,1,2,3,4
-0.027955,-0.66403,-0.74105,0.99552,1,2,3,4
-0.02918,-0.623395,-0.777715,0.997735,1,2,3,4
-0.02708,-0.594195,-0.8053,1.00127,1,2,3,4
-0.028875,-0.604515,-0.796025,1.0001,1,2,3,4
-0.02223,-0.606625,-0.79406,0.9996,1,2,3,4
-0.02031,-0.604705,-0.795905,0.999905,1,2,3,4
-0.018035,-0.606045,-0.79619,1.001,1,2,3,4
-0.01755,-0.602565,-0.80577,1.00654,1,2,3,4
-0.014785,-0.598055,-0.80251,1.00111,1,2,3,4
-0.018935,-0.637195,-0.7658,0.997425,1,2,3,4
-0.02925,-0.67753,-0.728145,0.995295,1,2,3,4
-0.035175,-0.680045,-0.72615,0.99592,1,2,3,4
-0.031345,-0.68141,-0.72325,0.994415,1,2,3,4
-0.052995,-0.721985,-0.68657,0.99858,1,2,3,4
-0.0331,-0.673255,-0.73047,0.99417,1,2,3,4
-0.03155,-0.675395,-0.7299,0.995075,1,2,3,4
-0.023635,-0.67348,-0.73109,0.99442,1,2,3,4
-0.04601,-0.67012,-0.735725,0.99653,1,2,3,4
-0.04905,-0.674495,-0.729115,0.994655,1,2,3,4
-0.04251,-0.681355,-0.72351,0.99486,1,2,3,4
-0.04382,-0.68365,-0.721535,0.995085,1,2,3,4
-0.043915,-0.680525,-0.72474,0.99525,1,2,3,4
-0.04336,-0.67893,-0.726975,0.995755,1,2,3,4
-0.0455,-0.679355,-0.72657,0.995845,1,2,3,4
-0.04196,-0.682925,-0.716365,0.990725,1,2,3,4
-0.046665,-0.69145,-0.709355,0.9918,1,2,3,4
-0.048475,-0.692335,-0.71444,0.99619,1,2,3,4
-0.04811,-0.688015,-0.718255,0.9959,1,2,3,4
-0.05213,-0.68929,-0.716135,0.99538,1,2,3,4
-0.04852,-0.686155,-0.71964,0.99559,1,2,3,4
-0.044645,-0.687915,-0.71878,0.995985,1,2,3,4
-0.04677,-0.68535,-0.720245,0.9954,1,2,3,4
-0.04957,-0.710085,-0.697805,0.997655,1,2,3,4
-0.044235,-0.732815,-0.678225,0.999605,1,2,3,4
-0.04096,-0.724065,-0.686095,0.998485,1,2,3,4
-0.038425,-0.72359,-0.68726,0.998785,1,2,3,4
-0.03699,-0.724375,-0.686005,0.99848,1,2,3,4
-0.032325,-0.709625,-0.698695,0.99665,1,2,3,4
-0.0335,-0.703245,-0.705315,0.99674,1,2,3,4
-0.03649,-0.69079,-0.716465,0.996375,1,2,3,4
-0.032725,-0.67551,-0.731705,0.996755,1,2,3,4
-0.03044,-0.678195,-0.728325,0.99575,1,2,3,4
-0.03083,-0.6769,-0.72901,0.99532,1,2,3,4
-0.030905,-0.67513,-0.73079,0.99548,1,2,3,4
-0.027915,-0.676145,-0.72991,0.995405,1,2,3,4
-0.02922,-0.678205,-0.728215,0.995625,1,2,3,4
-0.034935,-0.67614,-0.72918,0.99511,1,2,3,4
-0.0328,-0.679245,-0.72733,0.99578,1,2,3,4
-0.03175,-0.684355,-0.72321,0.996315,1,2,3,4
-0.03561,-0.6815,-0.724485,0.995375,1,2,3,4
-0.032625,-0.67899,-0.72686,0.99528,1,2,3,4
-0.032985,-0.68144,-0.725385,0.99583,1,2,3,4
-0.0377,-0.68335,-0.722865,0.995465,1,2,3,4
-0.039025,-0.68075,-0.724165,0.994735,1,2,3,4
-0.032875,-0.638075,-0.76571,0.99797,1,2,3,4
-0.029995,-0.603195,-0.798135,1.000955,1,2,3,4
-0.026885,-0.60932,-0.791705,0.999495,1,2,3,4
-0.02678,-0.608495,-0.792665,0.999785,1,2,3,4
-0.029635,-0.60597,-0.7943,0.999645,1,2,3,4
-0.02905,-0.605245,-0.79475,0.999615,1,2,3,4
-0.03119,-0.60985,-0.789165,0.9981,1,2,3,4
-0.02809,-0.61255,-0.78721,0.99801,1,2,3,4
-0.032855,-0.62044,-0.78064,0.997805,1,2,3,4
-0.032275,-0.658155,-0.74565,0.995765,1,2,3,4
-0.046755,-0.679885,-0.724205,0.994585,1,2,3,4
-0.044815,-0.67954,-0.72565,0.995245,1,2,3,4
-0.043315,-0.67979,-0.724445,0.99448,1,2,3,4
-0.0184,-0.675425,-0.73006,0.994875,1,2,3,4
-0.02143,-0.670465,-0.733645,0.99419,1,2,3,4
-0.050735,-0.66891,-0.734825,0.99512,1,2,3,4
-0.041425,-0.666565,-0.738615,0.99598,1,2,3,4
-0.042415,-0.66982,-0.733305,0.994265,1,2,3,4
-0.046655,-0.67067,-0.732255,0.99421,1,2,3,4
-0.06645,-0.672975,-0.73094,0.996,1,2,3,4
-0.0465,-0.67018,-0.73349,0.994855,1,2,3,4
-0.041825,-0.67941,-0.7295,0.998235,1,2,3,4
-0.04803,-0.67737,-0.727285,0.995325,1,2,3,4
-0.052165,-0.69497,-0.71114,0.99631,1,2,3,4
-0.052525,-0.722425,-0.68474,0.99692,1,2,3,4
-0.05214,-0.71521,-0.69212,0.99682,1,2,3,4
-0.04767,-0.7129,-0.69639,0.9978,1,2,3,4
-0.043915,-0.711435,-0.695835,0.996245,1,2,3,4
-0.04591,-0.712405,-0.69592,0.99706,1,2,3,4
-0.04815,-0.710095,-0.69987,0.99831,1,2,3,4
-0.050845,-0.7065,-0.70284,0.99797,1,2,3,4
-0.04984,-0.706585,-0.703695,0.998565,1,2,3,4
-0.0492,-0.71136,-0.700005,0.99939,1,2,3,4
-0.046615,-0.690535,-0.718415,0.99779,1,2,3,4
-0.04655,-0.690285,-0.71693,0.99645,1,2,3,4
-0.04336,-0.664665,-0.74005,0.995805,1,2,3,4
-0.042475,-0.66218,-0.742345,0.9967,1,2,3,4
-0.042405,-0.65152,-0.75006,0.99446,1,2,3,4
-0.042125,-0.65475,-0.748805,0.995685,1,2,3,4
-0.04084,-0.656725,-0.745565,0.994435,1,2,3,4
